© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Workspace	My Projects
Project	AlexC
Analysis	MockvVirus_DEP - 2020-10-08 04:50 PM
Date	Wed Oct 07 22:44:01 PDT 2020
Analysis ID	19812273

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.267 and up regulated 0.267
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
MAP4K4	kinase	 	1	 	 	1.732	7.79E-03	2.04E-02	MAP4K4	HADHB,HMGCL,KYAT3	3 (1)	1	Eph Receptor,EPHB1,Ifn gamma,IRF1	 	 	 	ARAF,EIF4EBP1,H6PD,MLXIPL,MTOR,RPS6KB1	 	 	 	 	
NEU1	enzyme	 	2	 	 	0.000	7.89E-03	2.45E-02	EGFR,ERK1/2,NEU1	CASP3,EPS15,MBP,S100A6,TUBA4A,UBA1	6 (3)	2	 	HES1,sirolimus,TSC2	 	 	EGFR	 	 	 	 	
NEU3	enzyme	 	2	 	 	-0.333	8.09E-03	4.66E-02	EGFR,HIF1A,INSR,NEU3	CASP3,EPS15,HADHB,HMGCL,MANF,MBP,NUCKS1,TUBA4A,UBA1	9 (4)	3	bromodeoxyuridine,EPAS1	 	 	EGFR,MMP7,ST3GAL5	 	 	 	 	 	
EGFR	kinase	-0.009	1	 	 	-0.447	8.38E-03	2.13E-02	EGFR	CASP3,EPS15,MBP,TUBA4A,UBA1	5 (1)	1	(-)-isoproterenol,2-deoxyglucose,4-hydroxytamoxifen,[D-Ala2,N-Me-Phe4,Gly5-ol]-Enkephalin,ADAM10,ADAM12,ADAM15,ADAM9,ADRA2A,ADRB1,AGK,AGTR1,alpha-estradiol,Angiotensin II receptor type 1,aplidine,arsenic,arsenic trioxide,ASGR1,BDNF,benzo(a)pyrene-3,6-quinone,C/EBP,carvedilol,CCDC88A,CCL20,CD9,CDK7,CHEK1,CHRM2,Collagen type IV,crocidolite asbestos,cyanocobalamin,DCTN2,DGKD,diethylstilbestrol,EDA,ELF3,EPAS1,EPGN,ER-α-Estradiol,ERBB,FBXW7,FGFR2,Fibrinogen,FPR1,FUT8,G-protein beta,G-protein gamma,GAK,GFER,glycochenodeoxycholate,GRK5,GRP,HDAC1,hexachlorobenzene,HMMR,HSP90AA1,HSPA1A/HSPA1B,HSPBP1,HTR2A,ICL1-9,Ifn gamma,IFNE,Igf,INPPL1,IQGAP1,isoguvacine,isoprenaline,KISS1R,L-685,458,LAMC2,lorlatinib,Mg2+,MGAT5,mGluR,MMP8,nafenopin,NCOA3,NEU3,nicotine,OXTR,PDGF (family),peroxynitrite,Plc beta,PROK1,PTGER2,PTGFR,SHC4,Smad,SN-38,SOX2,SPINK1,taurochenodeoxycholate,taurolithocholate-3-sulfate,testosterone,TF,TFAP2C,TRH,Tween 20,U-69593,xanthine,XDH	1-butanol,26s Proteasome,4,4'-diisothiocyanostilbene-2,2'-disulfonic acid,8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate,acridine yellow,afatinib,AICAR,allitinib,amlodipine,AP32788,bafilomycin,BAG1,batimastat,BB-2116,BDKRB2,BDTX-189,bexarotene,BIBX1522,bicalutamide,BMS-599626,BMS-690514,BQ 123,brigatinib,bumetanide,caffeic acid phenethyl ester,capmatinib,CD82,CERT1,Crm197,CUDC 101,dacomitinib,damnacanthal,erlotinib,FCHSD2,FUT4,GALNT2,GDF15,gefitinib,herbimycin,HTATIP2,ilomastat,K252b,lapatinib,LINGO1,lovastatin,magnesium,MAPK12,matuzumab,mir-223,monensin,MP 412,MTOR,naringenin,NCSTN,neopterin,NEU1,OPCML,OPRD1,PACSIN2,PD158780,pelitinib,pirinixic acid,pirotinib,PML,poziotinib,PRKN,PSEN2,PTPN9,PTPRB,PTPRK,pyrotinib,S0859,sapitinib,SAR103168,selatinib,SKLB1028,SNX1,sodium azide,ST3GAL5,ST6GAL1,STK11,sulfasalazine,TAK-285,TAPI-1,tesevatinib,TIMP3,TP73,TXN,tyrphostin,tyrphostin AG 1024,tyrphostin AG 1295,UBE2L3,valsartan,vandetanib,varlitinib,WZ-4002,zibotentan	 	BCL6,BIRC5,Cyclin D,E2f,E2F3,EGR3,FOS,GNRH2,GPER1,HERPUD1,IVNS1ABP,JUP,LEF1,mir-21,MMP3,MTA1,MYBL2,MYC,ODC1,PI3K (complex),PLCE1,RALA,RAP2B,SKP2,SNAI2,SRCIN1,TOM1L1	ACTB,CASP4,CD47,FOXO3,IFNG,IL36A,IRF1,PLK1,TNFRSF11B	 	 	 	 	
baicalin	chemical - endogenous non-mammalian	 	1	 	 	1.414	8.45E-03	1.03E-02	baicalin	CASP3,MBP	2 (1)	1	 	 	 	ACE,BDNF,BIRC5,CIRBP,EGF,TNFRSF11B,TRH	 	 	 	 	 	
tetraethylammonium	chemical drug	 	1	 	 	0.000	8.45E-03	1.79E-02	tetraethylammonium	LYPLA1,TCP1	2 (1)	1	 	SLC22A1	 	BAG2,BDNF,HSPA8	ARHGDIA,Cyclin A,PARK7	 	 	 	 	
vitamin K3	chemical drug	 	2	 	 	0.333	8.71E-03	4.13E-02	ATF6,DDIT3,ERK1/2,MAPK1,vitamin K3	CASP3,MANF,MECP2,MLF1,MYCBP,OAS2,PML,PRDX2,S100A6	9 (5)	5	 	 	 	ATF6,CASP4,CCL20,CHEK2,DYRK2,FOS,HSPA5,MYC,RCAN1	 	 	 	 	 	
MITF-p300/CBP	complex	 	3	 	 	-1.000	9.08E-03	4.91E-02	CREBBP,HIF1A,MITF,MITF-p300/CBP,p300-CBP,RB1	ALCAM,ATP6V1F,BID,HMGCL,MANF,MBP,MYCBP,NIT1,NUCKS1	9 (6)	4	 	 	 	 	 	 	 	 	 	
lenalidomide	chemical drug	 	1	 	 	0.000	9.49E-03	1.97E-02	lenalidomide	BID,DFFA,EIF3M,SEPTIN2	4 (1)	1	 	 	 	CD226,DCC,ELF3,HSPA5,IFNG,KLRC4-KLRK1/KLRK1,LEF1,MDM2,RASGRP3,TCF3,TP73	CSNK1A1,MYC,NEK6,PPIF,RRP1B,USP9X	 	 	 	 	
SLC27A2	transporter	0.318	1	 	 	1.414	9.71E-03	2.14E-02	SLC27A2	HADHB,HMGCL	2 (1)	1	BCL6,pirinixic acid	GATA3,tretinoin	 	 	ACSL1,prostaglandin J2	 	 	 	 	
YWHAH	transcription regulator	0.139	2	 	 	-1.000	9.76E-03	2.41E-02	NUMBL,PRKN,RAF1,YWHAH	CASP3,PRDX2,SNRPD1,TUBA4A	4 (4)	3	gentamicin	desmopressin	 	NUMBL	 	 	 	 	 	
sirolimus	chemical drug	 	1	 	 	0.816	9.80E-03	3.47E-02	sirolimus	CASP3,CLIC1,MBP,PML,RPS12,UBA1	6 (1)	1	 	 	 	ATG13,FOXO3,FPR1,HDAC5,KLF2,MFN2,mir-1,mir-19,mir-21,mir-214,mir-23,MKNK1,MYC,PDCD4,PI3K (complex),PML,TSC2,UCHL1,ULK1	ACTB,adenine-riboflavin dinucleotide,AMP,ARHGDIB,ATF4,BAG1,BIRC5,CCND2,CCR5,CHEK1,Cyclin A,Cyclin D,E2f,EIF4EBP1,EIF4EBP2,FOS,GATA3,HLA-B,HSP90AA1,HSPA5,ID1,IFNG,L-proline,LILRB1,Mapk,MAPK12,MDM2,miR-125b-5p (and other miRNAs w/seed CCCUGAG),mir-1275,mir-210,MMP13,MMP3,MTOR,MTORC2,neopterin,NEU1,NPM1,ODC1,OSCAR,phosphorylcholine,POSTN,Pp2b,PTP4A1,RORC,RPS14,RPS6KB1,TNFRSF11B,uridine,USP15	 	 	 	 	
ARAF	kinase	 	2	Activated	 	2.121	1.00E-02	4.44E-02	ARAF,ERK1/2,MAP2K1,MAPK1,Mek,RAF1	BID,MBP,MECP2,OAS2,PML,S100A6,SNRPD1,TUBA4A	8 (6)	5	testosterone	MAP4K4	 	FOS,RFFL	 	 	 	 	 	
GLPG0187	chemical drug	 	3	 	 	0.000	1.01E-02	2.79E-02	CDC42,GLPG0187,Integrin alpha 5 beta 1,Integrin alpha V beta 3,MAPK1,ODC1,Pka	CASP3,CSNK2B,MBP,MECP2,OAS2,PML	6 (7)	4	 	 	 	 	 	 	 	 	 	
prednisolone	chemical drug	 	1	 	 	1.000	1.02E-02	2.55E-02	prednisolone	BID,CASP3,PRDX2,TUBA4A	4 (1)	1	 	 	 	CALCB,CDK5,CEBPD,HES1,HEY1,JAG1,SDC2	ATG12,BAG1,BAG3,BAK1,CTSS,DAPK1,HDAC1,HSP90AA1,HSPA8,IFNG,PARK7,RPS6KB1,SPHK2,TNFRSF11B,TP73,ULK1,UVRAG	 	 	 	 	
(-)-gossypol	chemical drug	 	1	 	 	-1.000	1.03E-02	1.91E-02	(-)-gossypol	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
DIDO1	other	 	1	 	 	-1.000	1.03E-02	9.50E-03	DIDO1	CASP3	1 (1)	1	 	ING1	 	 	 	 	 	 	 	
GJB6	transporter	 	1	 	 	1.000	1.03E-02	1.64E-02	GJB6	MBP	1 (1)	1	 	 	 	 	 	 	 	 	 	
Pou3f1	transcription regulator	 	1	 	 	-1.000	1.03E-02	1.74E-02	Pou3f1	MBP	1 (1)	1	 	tretinoin	 	 	 	 	 	 	 	
Prl3b1	growth factor	 	1	 	 	1.000	1.03E-02	2.66E-02	Prl3b1	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
S100P	other	-0.092	1	 	 	-1.000	1.03E-02	1.64E-02	S100P	S100A6	1 (1)	1	CDK5,IRF2,PTGER4	4-hydroxytamoxifen,ST1926	 	S100A6	 	 	 	 	 	
ZFP57	transcription regulator	 	1	 	 	-1.000	1.03E-02	1.07E-02	ZFP57	MBP	1 (1)	1	SOX2	 	 	 	 	 	 	 	 	
amifostine	chemical drug	 	1	 	 	1.000	1.03E-02	9.50E-03	amifostine	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
prostratin	chemical - endogenous non-mammalian	 	1	 	 	-1.000	1.03E-02	1.39E-02	prostratin	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
ropivacaine	chemical drug	 	1	 	 	1.000	1.03E-02	2.34E-02	ropivacaine	MBP	1 (1)	1	 	 	 	 	 	 	 	 	 	
safrole	chemical toxicant	 	1	 	 	-1.000	1.03E-02	1.99E-02	safrole	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
HIF3A	transcription regulator	 	2	 	 	-1.134	1.06E-02	2.68E-02	HIF1A,HIF3A,STAT3	BID,CASP3,HMGCL,MANF,NUCKS1,OAS2,PML	7 (3)	2	 	magnesium	 	SOX2	APLN,EPAS1	 	 	 	 	
SAT1	enzyme	 	2	 	 	0.447	1.06E-02	2.21E-02	HIF1A,ODC1,SAT1	BID,CSNK2B,HMGCL,MANF,NUCKS1	5 (3)	2	Ck2,gossypol,lactacystin,TP73	CIP2A,MYC,RASSF5	 	ODC1	 	 	 	 	 	
GLP-1 (7-36) amide	biologic drug	 	2	 	 	0.378	1.07E-02	2.62E-02	ERK1/2,GLP-1 (7-36) amide,MAPK1,p70 S6k,PI3K (complex)	CASP3,MECP2,OAS2,PABPC4,PML,PRDX2,S100A6	7 (5)	5	 	 	 	PI3K (complex)	 	 	 	 	 	
APBA3	transporter	 	2	 	 	-1.633	1.11E-02	3.51E-02	APBA3,HIF1A,IRF3	BID,HMGCL,MANF,NUCKS1,OAS2,PML	6 (3)	2	ATF4	 	 	 	 	 	 	 	 	
CCND2	other	 	2	 	 	1.134	1.12E-02	4.69E-02	26s Proteasome,CCND2,Cyclin D,GATA4,RB1	ATP6V1F,CASP3,MLF1,MYCBP,NIT1,PML,PSMC2	7 (5)	4	CREBBP,EGF,FGFR2,IL-2R,JAG1,lactacystin,MTA1,MTPN,MYC,NPM1-ALK,OTUB1,PI3K (complex),pituitary adenylate cyclase-activating polypeptide,Pvr,PYCARD,SKP2,ST6GAL1,TCF3	BCL6,FOXO3,FOXO4,GATA1,HUWE1,IFNG,imatinib,KDM1A,let-7a-5p (and other miRNAs w/seed GAGGUAG),mir-1,mir-19,mono-(2-ethylhexyl)phthalate,nicotine,PAX3-FOXO1,sirolimus,tretinoin,TXN	 	CDK6,CDKN1C,Cyclin D,MAPK12	26s Proteasome,AKT2	 	 	 	 	
2-hydroxyestradiol	chemical - endogenous mammalian	 	2	 	 	-1.732	1.13E-02	1.75E-02	2-hydroxyestradiol,NR1I3,SOD1	CASP3,CORO7/CORO7-PAM16,TUBA4A	3 (3)	2	 	 	 	 	 	 	 	 	 	
BCL6	transcription regulator	 	1	 	 	0.577	1.13E-02	1.70E-02	BCL6	ALCAM,CASP3,HADHB	3 (1)	1	CpG ODN 2395,EGFR,FOXO4,HDAC1,Mapk,tretinoin,TXN	EP300,MXD1,ZBTB33	 	CD79B,CXCR5,SLC27A2	CCND2,GATA3,IRF1,MYC,PDCD4,PTPRO	 	 	 	 	
CD47	transmembrane receptor	 	2	 	 	0.000	1.17E-02	2.23E-02	CD47,CDC42,Cdc42,FYN,SYK	BID,CASP3,MBP,OAS2	4 (5)	4	benzene,HSPA5,methylmercury,tretinoin,trichloroethylene	EGFR	 	IFNG,OSCAR	MYC	 	 	 	 	
8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate	chemical - kinase inhibitor	 	1	 	 	0.000	1.20E-02	2.89E-02	8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate	BID,CASP3	2 (1)	1	 	 	 	AKAP1,CEBPD,Mapk	ADRB1,BIRC5,CD247,EGFR,MTOR	 	 	 	 	
HSPA5	enzyme	-0.240	1	 	 	1.414	1.20E-02	1.48E-02	HSPA5	CASP3,MBP	2 (1)	1	2-deoxyglucose,arsenic trioxide,ATF4,brefeldin A,cadmium,chrysotile asbestos,EPAS1,epoxomicin,ERVW-1,FOS,gentamicin,GPER1,lactacystin,lenalidomide,MAPKAPK3,MYOC,naringenin,orlistat,proteasome inhibitor PSI,SGPL1,vitamin K3	4-phenylbutyric acid,ADRB1,BDNF,dinaciclib,edaravone,H6PD,IFNG,puromycin aminonucleoside,sirolimus,SLC37A4,tiron,TSC2,UCHL1,VCP	 	CD47,HSPA8,Ins1	CASP4,CASP7	 	 	 	 	
PRDM16	transcription regulator	 	2	 	 	0.000	1.23E-02	4.64E-02	PPARA,PPARG,PPARGC1A,PPRC1,PRDM16	COX5B,HADHB,HMGCL,KYAT3,MBP,NPEPPS,OAS2,UBR4	8 (5)	5	drospirenone,SRA1	NR1H2,NR1H3	 	Ctbp	 	 	 	 	 	
salirasib	chemical drug	 	2	 	 	1.134	1.26E-02	3.02E-02	ERK1/2,MTOR,p70 S6k,PI3K (complex),RAC1,RAS,salirasib	BID,CASP3,MBP,PABPC4,PML,PRDX2,S100A6	7 (7)	6	 	 	 	ATF4	HDAC1,Mapk,MTOR,PFKFB3,PI3K (complex),STC1	 	 	 	 	
brefeldin A	chemical - endogenous non-mammalian	 	1	 	 	0.000	1.30E-02	2.50E-02	brefeldin A	COX5B,ERLEC1	2 (1)	1	 	 	 	Cdc2,HSPA5,IFNG,MMP3,SYVN1	Agtr1b,Arf,Clathrin,HLA-B,KCND2,Mapk,MTOR,Nos,OXTR,TFDP1	 	 	 	 	
buserelin	biologic drug	 	2	 	 	0.000	1.33E-02	4.72E-02	buserelin,ERK1/2,Jnk,MAP2K1,MAPK1,RAF1	CASP3,MBP,MECP2,OAS2,PML,S100A6,SNRPD1,TUBA4A	8 (6)	5	 	 	 	ANXA5,FOS,GNRHR	 	 	 	 	 	
ATF6	transcription regulator	 	1	 	 	-1.414	1.35E-02	1.98E-02	ATF6	MANF,PRDX2	2 (1)	1	arsenic trioxide,N-Ac-Leu-Leu-norleucinal,ORMDL3,vitamin K3	ADM2,H6PD,LEF1,MFN2,NUMBL,SLC37A4,tiron	 	DAPK1,FOS,HMMR,MTOR,RCAN1	 	 	 	 	 	
DCC	transmembrane receptor	 	1	 	 	1.000	1.38E-02	2.50E-02	DCC	MBP	1 (1)	1	lenalidomide,N-Ac-Leu-Leu-norleucinal,SNCAIP	ISL1	 	 	TP73	 	 	 	 	
FUT4	enzyme	 	1	 	 	1.000	1.38E-02	2.69E-02	FUT4	CASP3	1 (1)	1	GFER,SOX2	KLF2,tretinoin	 	PI3K (complex)	EGFR	 	 	 	 	
HSPBP1	other	0.272	1	 	 	1.000	1.38E-02	2.20E-02	HSPBP1	HSPA2	1 (1)	1	tretinoin	 	 	EGFR	 	 	 	 	 	
N-retinylidene-N-retinylethanolamine	chemical - endogenous mammalian	 	1	 	 	-1.000	1.38E-02	2.20E-02	N-retinylidene-N-retinylethanolamine	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
OBSCN	kinase	 	1	 	 	-1.000	1.38E-02	2.14E-02	OBSCN	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
Prl3d1 (includes others)	other	 	1	 	 	1.000	1.38E-02	2.89E-02	Prl3d1 (includes others)	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
S-allyl-L-cysteine	chemical - endogenous non-mammalian	 	1	 	 	-1.000	1.38E-02	1.91E-02	S-allyl-L-cysteine	CASP3	1 (1)	1	 	 	 	 	Mapk,MTOR	 	 	 	 	
T-2 toxin	chemical toxicant	 	1	 	 	-1.000	1.38E-02	9.50E-03	T-2 toxin	CASP3	1 (1)	1	 	 	 	 	testosterone	 	 	 	 	
TAS-103	chemical drug	 	1	 	 	-1.000	1.38E-02	1.96E-02	TAS-103	CASP3	1 (1)	1	 	 	 	EP300	 	 	 	 	 	
TLCD3A	other	 	1	 	 	1.000	1.38E-02	2.03E-02	TLCD3A	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
ULK1	kinase	 	1	 	 	1.000	1.38E-02	3.07E-02	ULK1	CASP3	1 (1)	1	EGF,FOXO3,sirolimus,TP73	CBLC,L-leucine,L-proline,L-valine,MTOR,prednisolone	 	 	CASP7	 	 	 	 	
XPC	transcription regulator	 	1	 	 	1.000	1.38E-02	2.06E-02	XPC	MBP	1 (1)	1	 	nicotine	 	 	 	 	 	 	 	
mir-138	microRNA	 	1	 	 	1.000	1.38E-02	2.08E-02	mir-138	LYPLA1	1 (1)	1	GATA1	 	 	 	 	 	 	 	 	
ETV6-RUNX1	fusion gene/product	 	1	Activated	 	2.000	1.41E-02	4.11E-02	ETV6-RUNX1	BID,CLIC1,OAS2,PML	4 (1)	1	 	 	 	MDM2,MYC,NCK2	GATA3,IFNAR1,IFNAR2,IRF1,IRF2,IRF5,LILRB1,MYLK,NEK6,PML,PPM1F,RALB,TNFRSF14	 	 	 	 	
26s Proteasome	complex	 	1	 	 	-0.577	1.42E-02	3.02E-02	26s Proteasome	MLF1,MYCBP,PSMC2	3 (1)	1	ALDH3A1,desmopressin,DYRK2,FBXO7,FOXO4,HSF2,mecamylamine,NHLRC1,Nos,peroxynitrite,PI3K (complex),PLK1,PRKN,PSMC3,SNCB	1-methyl-4-phenylpyridinium,3,4-dichloroisocoumarin,4-oxo-2-nonenal,ASIC1,BDNF,CCND2,epirubicin,epoxomicin,idarubicin,IFNG,lactacystin,leupeptin,lithium chloride,lovastatin,N-Ac-Leu-Leu-norleucinal,nicotine,paraquat,PPP1R3A,prostaglandin J2,proteasome inhibitor PSI,SNCAIP,tannic acid,TARDBP,tretinoin,TSC2,UCHL1,vinblastine,VR23	 	CCNE2,CHEK1,CREBBP,Ctbp,MYC,NCOA1,NCOA3	BAG3,EGF,EGFR,EREG,MMP12,ODC1,PSAP,SKI,SOX2,UVRAG	 	 	 	 	
mir-21	microRNA	 	1	 	 	-1.000	1.58E-02	3.17E-02	mir-21	CKAP5,NUCKS1,OAS2,SEPTIN2	4 (1)	1	AKT2,Calcineurin A,CD24,EGFR,GPER1,ID1,Mapk,sirolimus,tretinoin	FOXO3,MMP8,monocrotaline,PAX3-FOXO1,ursolic acid	 	ARNTL,GATA3,IGHM,SMARCA4,TGM1	Arf,CASP4,CCL1,CD226,CDK6,CREBBP,CSE1L,IRF1,JAG1,MYC,Pias,POU5F1,RACGAP1,SKI,SOX2,TIMP3,TSC2,UBE2G1,VRK1	 	 	 	 	
PINK1	kinase	 	2	 	 	-1.633	1.61E-02	4.99E-02	HIF1A,PINK1,PRKN,TRAP1	BID,COX5B,HMGCL,MANF,NUCKS1,PRDX2	6 (4)	3	BAG2	1-methyl-4-phenylpyridinium,STUB1	 	PRKN	EIF4EBP1,MFN2	 	 	 	 	
BCL2L13	other	-0.368	2	 	 	0.000	1.61E-02	2.69E-02	BAX,BCL2L13,CERS2	CASP3,MBP	2 (3)	2	artesunic acid	 	 	 	 	 	 	 	 	
ursolic acid	chemical drug	 	1	 	 	0.000	1.66E-02	2.24E-02	ursolic acid	LARS1,MBP	2 (1)	1	 	 	 	C/EBP,PDCD4	CD69,EIF4EBP1,mir-21,MMP3,MTOR,MYC,RORC	 	 	 	 	
4,4'-diisothiocyanostilbene-2,2'-disulfonic acid	chemical drug	 	1	 	 	-1.000	1.72E-02	2.01E-02	4,4'-diisothiocyanostilbene-2,2'-disulfonic acid	CASP3	1 (1)	1	 	 	 	 	EGFR	 	 	 	 	
ACSL6	enzyme	 	1	 	 	-1.000	1.72E-02	2.11E-02	ACSL6	CASP3	1 (1)	1	 	let-7a-5p (and other miRNAs w/seed GAGGUAG)	 	MMP13	 	 	 	 	 	
CD226	other	 	1	 	 	1.000	1.72E-02	3.12E-02	CD226	CASP3	1 (1)	1	lenalidomide	mir-21	 	BIRC5,IFNG,PI3K (complex)	CD69	 	 	 	 	
EGOT	other	 	1	 	 	1.000	1.72E-02	2.34E-02	EGOT	MBP	1 (1)	1	IFNG	 	 	RNASE2	 	 	 	 	 	
GPR17	G-protein coupled receptor	 	1	 	 	-1.000	1.72E-02	2.10E-02	GPR17	MBP	1 (1)	1	SOX2	 	 	XAF1	FOS	 	 	 	 	
HLA-B	transmembrane receptor	 	1	 	 	1.000	1.72E-02	2.13E-02	HLA-B	OAS2	1 (1)	1	CREBBP,EP300,IFNG,SMARCA4,tretinoin	brefeldin A,lactacystin,MYC,N-Ac-Leu-Leu-norleucinal,sirolimus	 	ATF4	 	 	 	 	 	
HSPA8	enzyme	0.130	1	 	 	-1.000	1.72E-02	2.11E-02	HSPA8	MANF	1 (1)	1	DNAJA1,HSF1,HSPA5,NPM1-ALK,tetraethylammonium	arsenic trioxide,BAG1,BAG2,BAG3,BMS-690514,FBXW7,IFNG,imatinib,prednisolone	 	 	 	 	 	 	 	
IL12RB1	transmembrane receptor	 	1	 	 	1.000	1.72E-02	2.01E-02	IL12RB1	OAS2	1 (1)	1	IRF1	 	 	 	 	 	 	 	 	
SD-282	chemical - kinase inhibitor	 	1	 	 	1.000	1.72E-02	1.91E-02	SD-282	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
XAF1	other	 	1	 	 	-1.000	1.72E-02	2.13E-02	XAF1	CASP3	1 (1)	1	CD247,GPR17,Ifn gamma,IFNG,IRF1,pifithrin alpha,tretinoin	FOS,HSF1,PTGER4	 	 	BIRC5	 	 	 	 	
carvacrol	chemical - endogenous non-mammalian	 	1	 	 	1.000	1.72E-02	1.54E-02	carvacrol	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
ginsenoside Rg1	chemical - endogenous non-mammalian	 	1	 	 	1.000	1.72E-02	3.33E-02	ginsenoside Rg1	CASP3	1 (1)	1	 	 	 	BIRC5	mir-214	 	 	 	 	
mir-1275	microRNA	 	1	 	 	1.000	1.72E-02	1.16E-02	mir-1275	CASP3	1 (1)	1	 	sirolimus	 	 	 	 	 	 	 	
omacetaxine mepesuccinate	chemical drug	 	1	 	 	-1.000	1.72E-02	2.47E-02	omacetaxine mepesuccinate	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
orantinib	chemical drug	 	1	 	 	-1.000	1.72E-02	9.50E-03	orantinib	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
pergolide	chemical drug	 	1	 	 	1.000	1.72E-02	1.83E-02	pergolide	CASP3	1 (1)	1	 	 	 	DRD3,HTR2A	 	 	 	 	 	
rigosertib	chemical drug	 	1	 	 	1.000	1.72E-02	1.73E-02	rigosertib	BID	1 (1)	1	 	 	 	CASP7,CHEK2	EIF4EBP1,MTOR,MYC,PLK1	 	 	 	 	
HDAC5	transcription regulator	 	1	 	 	0.000	1.72E-02	2.73E-02	HDAC5	HMGCL,MBP	2 (1)	1	sirolimus	4-phenylbutyric acid,BDNF,givinostat,GRK5,HDAC4,HSF1,SIK2	 	CD27,DAPK1	CDK7,GATA1,KLF2	 	 	 	 	
benzene	chemical toxicant	 	1	 	 	-1.414	1.72E-02	3.25E-02	benzene	CASP3,MTPN	2 (1)	1	 	 	 	CD47,CDK6,MDM2,MTPN	 	 	 	 	 	
trichloroethylene	chemical toxicant	 	1	 	 	-1.414	1.72E-02	3.41E-02	trichloroethylene	CASP3,MTPN	2 (1)	1	 	 	 	CD47,CDK6,MDM2,MTPN	 	 	 	 	 	
TFAP2C	transcription regulator	 	1	 	 	-1.414	1.78E-02	3.20E-02	TFAP2C	ALCAM,MBP	2 (1)	1	tamibarotene	mir-214	 	CDX2,EGFR,EGR3	DYRK2,FBXW7,JAG1	 	 	 	 	
delta-9-tetrahydrocannabinol	chemical drug	 	1	 	 	-1.414	1.95E-02	3.03E-02	delta-9-tetrahydrocannabinol	BID,DFFA	2 (1)	1	 	 	 	BDNF,CASP7,FOS,Mapk,OPRD1	IFNG	 	 	 	 	
CIP2A	other	 	1	 	 	1.414	2.01E-02	3.79E-02	CIP2A	SCIN,TUBA4A	2 (1)	1	 	TCF3	 	LAMA1,LMNB1,PDK4	CRLF1,GPR183,PTPRB,SAT1,SLC16A3	 	 	 	 	
CIMO	chemical reagent	 	1	 	 	1.000	2.06E-02	1.40E-02	CIMO	BID	1 (1)	1	 	 	 	 	BIRC5	 	 	 	 	
CSE1L	transporter	0.318	1	 	 	-1.000	2.06E-02	3.75E-02	CSE1L	CASP3	1 (1)	1	Ifn gamma,IFNG,MYC	mir-21	 	 	 	 	 	 	 	
DEAF1	transcription regulator	 	1	 	 	1.000	2.06E-02	3.34E-02	DEAF1	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
DOHH	enzyme	 	1	 	 	1.000	2.06E-02	3.49E-02	DOHH	PRDX2	1 (1)	1	 	 	 	PARK7	 	 	 	 	 	
HAND2-AS1	other	 	1	 	 	-1.000	2.06E-02	2.37E-02	HAND2-AS1	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
PC-SPES	chemical drug	 	1	 	 	1.000	2.06E-02	2.94E-02	PC-SPES	TUBA4A	1 (1)	1	 	 	 	 	testosterone	 	 	 	 	
